event_id,employee_id,termination_date,attrition_flag,voluntary_flag
85,752,2025-11-03,1,1
86,780,2024-05-10,1,1
87,785,2025-12-14,1,1
88,787,2025-07-03,1,1
89,796,2025-04-20,1,1
90,811,2025-05-16,1,1
91,816,2025-04-19,1,0
92,819,2024-08-29,1,1
93,825,2024-07-22,1,1
94,828,2025-11-21,1,1
95,840,2024-09-11,1,1
96,842,2025-03-05,1,1
97,848,2024-04-25,1,1
98,881,2024-05-18,1,1
99,896,2024-10-31,1,0
100,911,2025-11-12,1,1
101,918,2024-06-08,1,1
102,922,2024-07-02,1,1
103,923,2025-10-08,1,0
104,926,2024-11-28,1,1
105,927,2024-12-24,1,1
106,932,2024-04-02,1,1
107,952,2025-12-06,1,1
108,959,2025-05-03,1,1
109,960,2024-07-18,1,1
110,967,2025-11-30,1,1
111,970,2025-06-19,1,1
112,977,2024-07-06,1,1
113,986,2025-08-04,1,1
114,991,2024-10-15,1,1
115,994,2025-07-21,1,0
116,1004,2025-10-26,1,0
117,1010,2024-02-29,1,1
118,1016,2025-11-11,1,1
119,1017,2025-03-20,1,1
120,1033,2024-07-05,1,1
121,1037,2024-07-02,1,1
122,1038,2024-12-25,1,0
123,1042,2025-09-03,1,1
124,1052,2024-08-18,1,1
125,1053,2024-10-21,1,1
126,1077,2025-05-18,1,1
127,1079,2024-05-31,1,1
128,1081,2025-03-14,1,1
129,1082,2025-01-30,1,1
130,1098,2024-04-06,1,0
131,1100,2025-01-21,1,1
132,1101,2025-09-25,1,0
133,1106,2025-06-26,1,1
134,1107,2024-12-11,1,1
135,1108,2024-08-24,1,1
136,1111,2025-10-05,1,1
137,1113,2024-10-06,1,1
138,1127,2024-06-24,1,1
139,1156,2024-11-11,1,1
140,1157,2024-07-30,1,0
141,1160,2024-01-13,1,1
142,1165,2024-08-20,1,1
143,1167,2025-01-26,1,1
144,1175,2025-08-11,1,1
145,1188,2024-07-16,1,1
146,1200,2025-10-20,1,1
147,1203,2025-10-28,1,1
148,1210,2025-11-17,1,1
149,1219,2025-10-26,1,1
150,1248,2025-08-23,1,1
151,1273,2024-08-22,1,1
152,1277,2024-07-26,1,1
153,1279,2025-10-19,1,1
154,1295,2025-03-19,1,1
155,1299,2024-05-05,1,1
156,1309,2025-01-31,1,0
157,1310,2025-06-17,1,1
158,1318,2024-09-07,1,1
159,1319,2024-07-28,1,0
160,1331,2024-03-03,1,1
161,1333,2025-07-20,1,1
162,1360,2024-12-26,1,1
163,1372,2025-12-22,1,1
164,1379,2025-11-14,1,1
165,1380,2025-04-14,1,1
166,1389,2025-09-03,1,1
167,1405,2025-04-11,1,1
168,1420,2024-10-23,1,1
169,1421,2025-07-25,1,1
170,1427,2025-04-08,1,1
171,1433,2025-11-25,1,0
172,1439,2025-01-22,1,1
173,1457,2024-11-06,1,1
174,1458,2025-05-07,1,1
175,1459,2024-07-22,1,1
176,1464,2025-03-23,1,1
177,1467,2025-01-21,1,1
178,1486,2025-09-17,1,0
179,1487,2025-09-20,1,0
180,1489,2024-09-27,1,1
181,1494,2024-11-05,1,1
182,1504,2024-01-15,1,1
183,1522,2025-12-06,1,0
184,1534,2025-05-10,1,1
185,1537,2025-08-10,1,1
186,1562,2025-11-19,1,0
187,1569,2024-04-09,1,1
188,1572,2024-09-20,1,1
189,1573,2024-07-16,1,1
190,1604,2024-10-06,1,1
191,1624,2025-07-09,1,1
192,1639,2025-01-02,1,1
193,1645,2024-03-11,1,1
194,1649,2024-11-02,1,1
195,1667,2025-08-23,1,1
196,1684,2025-11-17,1,1
197,1691,2024-07-25,1,0
198,1692,2024-06-12,1,1
199,1702,2025-06-18,1,1
200,1714,2025-07-29,1,1
201,1716,2025-08-13,1,1
202,1733,2025-07-07,1,1
203,1734,2024-08-06,1,1
204,1747,2024-05-04,1,1
205,1752,2025-07-14,1,1
206,1758,2024-12-18,1,1
207,1761,2024-06-23,1,0
208,1767,2024-06-04,1,1
209,1780,2024-05-05,1,1
210,1783,2024-02-05,1,1
211,1792,2024-02-11,1,0
212,1797,2024-02-14,1,1
213,1807,2024-11-20,1,0
214,1809,2024-10-25,1,1
215,1818,2025-07-16,1,1
216,1821,2024-04-27,1,0
217,1842,2025-09-23,1,1
218,1844,2024-10-20,1,1
219,1862,2024-02-06,1,1
220,1868,2024-01-13,1,1
221,1869,2024-04-09,1,0
222,1876,2025-05-02,1,1
223,1878,2025-02-19,1,0
224,1905,2025-11-28,1,0
225,1907,2024-03-13,1,1
226,1928,2025-12-17,1,0
227,1933,2025-04-02,1,1
228,1939,2025-07-04,1,1
229,1944,2025-12-01,1,1
230,1960,2025-05-20,1,1
231,1967,2024-04-24,1,1
232,1968,2024-11-01,1,1
233,2023,2024-05-16,1,0
234,2027,2024-05-12,1,1
235,2032,2025-08-19,1,1
236,2044,2025-06-08,1,1
237,2055,2024-12-08,1,1
