review_id,employee_id,review_date,performance_rating,job_satisfaction,environment_satisfaction,work_life_balance,overtime_flag,manager_id
105,27,2020-08-04,3,2,4,4,No,244.0
104,27,2021-08-10,3,2,3,3,No,244.0
103,27,2022-08-13,3,1,4,4,No,244.0
102,27,2023-08-05,4,2,4,2,No,244.0
101,27,2024-08-19,4,1,3,2,No,244.0
100,27,2025-08-13,4,1,3,3,No,244.0
111,28,2020-12-22,3,2,1,4,No,396.0
110,28,2021-12-31,3,1,1,4,No,396.0
109,28,2022-12-27,3,3,1,2,No,396.0
108,28,2023-12-29,3,3,2,2,No,396.0
107,28,2024-12-15,3,2,1,4,Yes,396.0
106,28,2025-12-20,3,2,1,3,No,396.0
112,30,2025-12-23,3,4,3,3,No,1485.0
117,31,2020-04-11,3,1,2,2,No,1422.0
116,31,2021-04-17,3,1,2,2,No,1422.0
115,31,2022-04-03,3,1,1,4,No,1422.0
114,31,2023-04-06,3,1,1,3,No,1422.0
113,31,2024-03-29,3,1,2,3,No,1422.0
123,32,2020-12-11,3,3,2,3,No,140.0
122,32,2021-12-31,3,2,3,2,No,140.0
121,32,2022-12-13,3,2,4,2,No,140.0
120,32,2023-12-17,3,2,4,2,No,140.0
119,32,2024-12-22,3,2,2,3,No,140.0
118,32,2025-12-23,3,3,3,2,No,140.0
129,33,2019-07-03,4,1,1,3,Yes,901.0
128,33,2020-06-17,4,1,2,3,Yes,901.0
127,33,2021-06-25,3,2,2,4,Yes,901.0
126,33,2022-06-18,3,1,3,2,No,901.0
125,33,2023-06-19,3,1,3,4,Yes,901.0
124,33,2024-06-24,4,1,2,3,Yes,901.0
135,35,2020-12-30,3,2,4,2,No,1975.0
134,35,2021-12-29,3,3,4,4,No,1975.0
133,35,2022-12-24,3,2,3,3,No,1975.0
132,35,2023-12-27,3,2,4,2,No,1975.0
131,35,2024-12-26,3,3,2,3,No,1975.0
130,35,2025-12-18,3,2,3,3,No,1975.0
141,36,2020-12-16,3,4,2,2,No,1606.0
140,36,2021-12-14,3,4,2,3,No,1606.0
139,36,2022-12-29,3,4,1,3,No,1606.0
138,36,2024-01-01,3,4,1,4,Yes,1606.0
137,36,2024-12-30,3,4,1,3,No,1606.0
136,36,2025-12-30,3,4,1,3,No,1606.0
144,38,2023-12-14,3,1,3,1,No,140.0
143,38,2024-12-20,3,1,3,3,No,140.0
142,38,2025-12-15,3,1,2,2,No,140.0
146,39,2024-12-29,3,3,3,2,No,730.0
145,39,2025-12-20,3,4,3,3,No,730.0
151,40,2021-12-24,3,3,3,4,No,1661.0
150,40,2022-12-16,3,4,3,4,Yes,1661.0
149,40,2023-12-27,3,4,4,4,No,1661.0
148,40,2024-12-23,3,3,4,4,Yes,1661.0
147,40,2025-12-13,3,4,4,4,Yes,1661.0
157,41,2020-12-23,3,4,3,4,No,1317.0
156,41,2021-12-22,3,2,3,3,No,1317.0
155,41,2022-12-28,3,3,4,4,No,1317.0
154,41,2023-12-28,3,3,4,2,No,1317.0
153,41,2024-12-11,3,3,4,3,No,1317.0
152,41,2025-12-13,3,3,4,3,No,1317.0
159,42,2024-07-30,3,4,4,4,Yes,2056.0
158,42,2025-08-07,3,4,4,4,No,2056.0
162,45,2022-01-31,3,3,2,3,Yes,1666.0
161,45,2023-02-16,3,3,1,3,No,1666.0
160,45,2024-02-19,3,4,2,2,Yes,1666.0
168,46,2020-12-30,3,3,4,3,No,999.0
167,46,2021-12-26,3,4,4,2,No,999.0
166,46,2022-12-30,3,2,4,2,No,999.0
165,46,2023-12-31,3,2,4,2,No,999.0
164,46,2024-12-23,3,3,4,3,No,999.0
163,46,2025-12-28,3,3,4,2,No,999.0
172,47,2022-12-08,3,4,1,2,No,118.0
171,47,2023-12-15,3,3,1,2,Yes,118.0
170,47,2024-11-26,3,4,1,3,No,118.0
169,47,2025-12-02,3,3,1,3,Yes,118.0
175,49,2023-12-13,3,4,4,2,No,244.0
174,49,2024-12-11,3,4,4,2,Yes,244.0
173,49,2025-12-24,3,4,4,3,No,244.0
177,51,2024-12-31,3,1,1,4,Yes,1424.0
176,51,2025-12-18,3,1,2,4,Yes,1424.0
183,52,2020-12-26,3,2,4,3,Yes,862.0
182,52,2021-12-25,3,2,2,4,No,862.0
181,52,2022-12-19,3,1,3,4,No,862.0
180,52,2023-12-21,3,2,2,4,No,862.0
179,52,2024-12-23,3,1,4,3,No,862.0
178,52,2025-12-15,3,1,3,3,No,862.0
185,53,2024-12-25,3,4,3,3,No,1250.0
184,53,2025-12-14,3,4,3,3,No,1250.0
187,54,2024-12-14,3,2,4,2,No,1523.0
186,54,2025-12-26,3,1,4,3,No,1523.0
189,55,2024-04-05,3,3,2,1,Yes,661.0
188,55,2025-04-05,3,3,1,2,No,661.0
195,56,2020-12-30,3,2,3,4,No,1167.0
194,56,2021-12-29,3,3,4,4,No,1167.0
193,56,2022-12-18,3,3,4,3,Yes,1167.0
192,56,2023-12-14,3,3,4,2,Yes,1167.0
191,56,2024-12-16,3,4,4,4,No,1167.0
190,56,2025-12-14,3,3,4,3,No,1167.0
201,57,2020-12-29,4,3,3,2,No,1608.0
200,57,2021-12-30,3,3,2,4,No,1608.0
199,57,2022-12-16,3,4,3,3,Yes,1608.0
198,57,2023-12-22,3,4,2,2,No,1608.0
197,57,2024-12-12,4,4,2,3,No,1608.0
196,57,2025-12-30,4,4,3,3,No,1608.0
207,58,2020-07-17,3,3,3,3,No,1770.0
206,58,2021-07-25,3,4,2,2,No,1770.0
205,58,2022-07-12,3,2,3,3,No,1770.0
204,58,2023-07-18,3,2,2,4,No,1770.0
203,58,2024-07-15,3,3,1,4,No,1770.0
202,58,2025-07-27,3,3,2,3,No,1770.0
213,60,2020-12-31,3,4,1,4,No,862.0
212,60,2021-12-15,3,3,2,2,Yes,862.0
211,60,2022-12-27,3,3,1,3,No,862.0
210,60,2023-12-25,3,2,2,2,No,862.0
209,60,2024-12-20,4,2,2,2,No,862.0
208,60,2025-12-26,4,3,2,3,No,862.0
215,61,2024-12-14,3,2,1,4,No,1837.0
214,61,2025-12-16,4,2,2,3,No,1837.0
221,62,2020-12-25,4,4,1,3,Yes,1975.0
220,62,2021-12-13,3,3,1,4,No,1975.0
219,62,2022-12-25,4,4,2,4,Yes,1975.0
218,62,2023-12-28,4,4,2,4,Yes,1975.0
217,62,2024-12-14,4,3,1,2,No,1975.0
216,62,2025-12-12,4,4,1,3,Yes,1975.0
223,63,2024-12-20,3,4,4,4,No,1250.0
222,63,2025-12-25,3,4,4,3,No,1250.0
225,64,2023-11-13,3,4,2,2,Yes,1061.0
224,64,2024-11-16,3,3,1,3,Yes,1061.0
228,65,2023-03-26,3,3,3,1,No,575.0
227,65,2024-03-22,3,2,2,2,No,575.0
226,65,2025-04-05,3,3,3,2,Yes,575.0
233,68,2021-12-31,4,2,1,3,No,1975.0
232,68,2022-12-26,3,1,3,2,No,1975.0
231,68,2023-12-21,4,1,1,1,No,1975.0
230,68,2024-12-14,4,1,3,3,No,1975.0
229,68,2025-12-15,4,1,2,2,Yes,1975.0
238,70,2021-12-21,3,1,2,3,Yes,431.0
237,70,2022-12-18,3,1,4,4,Yes,431.0
236,70,2023-12-23,3,1,2,2,No,431.0
235,70,2024-12-23,3,2,2,3,No,431.0
234,70,2025-12-30,3,1,3,3,Yes,431.0
241,72,2023-12-13,3,3,4,2,Yes,2055.0
240,72,2024-12-25,3,3,3,1,Yes,2055.0
239,72,2025-12-18,3,4,3,2,Yes,2055.0
247,73,2020-12-19,3,4,1,2,No,638.0
246,73,2021-12-22,3,3,1,4,Yes,638.0
245,73,2022-12-31,3,3,1,2,Yes,638.0
244,73,2023-12-20,3,4,2,4,No,638.0
243,73,2024-12-31,3,4,1,2,Yes,638.0
242,73,2025-12-15,3,4,1,3,Yes,638.0
253,74,2020-12-27,4,1,3,1,No,1863.0
252,74,2021-12-20,3,2,3,2,No,1863.0
251,74,2022-12-23,3,2,1,3,No,1863.0
250,74,2023-12-13,3,2,1,3,No,1863.0
249,74,2024-12-11,3,2,3,1,No,1863.0
248,74,2025-12-15,4,1,2,2,No,1863.0
256,75,2023-12-18,3,1,3,2,No,1250.0
255,75,2024-12-28,3,1,3,2,No,1250.0
254,75,2025-12-26,3,1,3,3,Yes,1250.0
262,76,2020-12-31,4,4,4,1,No,1789.0
261,76,2021-12-24,4,3,4,3,No,1789.0
260,76,2022-12-21,4,4,4,1,No,1789.0
259,76,2023-12-14,4,3,3,1,No,1789.0
258,76,2024-12-16,3,4,3,2,No,1789.0
257,76,2025-12-15,4,4,4,2,No,1789.0
268,77,2020-12-18,3,4,1,4,Yes,601.0
267,77,2021-12-14,3,2,1,3,No,601.0
266,77,2022-12-23,3,2,2,4,No,601.0
265,77,2023-12-19,3,4,1,4,No,601.0
264,77,2024-12-15,3,4,2,4,No,601.0
263,77,2025-12-17,3,3,1,4,No,601.0
274,78,2020-12-15,4,4,1,4,Yes,1283.0
273,78,2021-12-25,3,4,1,3,No,1283.0
272,78,2022-12-16,3,4,1,4,Yes,1283.0
271,78,2023-12-13,3,3,1,4,Yes,1283.0
270,78,2024-12-19,3,3,1,4,Yes,1283.0
269,78,2025-12-20,4,4,1,3,Yes,1283.0
280,79,2020-12-30,3,4,3,2,No,1867.0
279,79,2021-12-17,3,3,3,3,No,1867.0
278,79,2022-12-18,3,3,4,2,No,1867.0
277,79,2023-12-21,3,4,4,2,No,1867.0
276,79,2024-12-22,3,3,3,2,No,1867.0
275,79,2025-12-26,3,4,4,3,No,1867.0
286,80,2020-12-19,3,4,1,2,No,825.0
285,80,2021-12-28,3,4,2,1,No,825.0
284,80,2022-12-18,3,4,3,1,Yes,825.0
283,80,2023-12-12,3,2,3,3,Yes,825.0
282,80,2024-12-13,3,3,2,1,No,825.0
281,80,2025-12-11,3,3,2,2,Yes,825.0
292,81,2020-12-24,3,1,1,1,Yes,1372.0
291,81,2021-12-24,3,1,1,1,No,1372.0
290,81,2022-12-14,3,1,1,3,No,1372.0
289,81,2023-12-15,3,1,1,1,Yes,1372.0
288,81,2024-12-21,3,1,1,1,No,1372.0
287,81,2025-12-17,3,1,1,2,No,1372.0
298,83,2020-12-13,3,2,4,4,No,431.0
297,83,2021-12-13,3,3,2,4,No,431.0
296,83,2022-12-31,3,4,2,4,No,431.0
295,83,2023-12-19,3,4,4,3,No,431.0
294,83,2024-12-30,3,4,3,3,No,431.0
293,83,2025-12-13,3,3,3,3,No,431.0
304,84,2020-12-20,3,4,4,2,No,1338.0
303,84,2021-12-19,3,3,4,3,No,1338.0
302,84,2022-12-30,3,4,4,4,No,1338.0
301,84,2023-12-21,3,3,4,3,Yes,1338.0
300,84,2024-12-12,3,3,4,2,No,1338.0
299,84,2025-12-16,3,3,4,3,Yes,1338.0
310,85,2020-12-20,3,2,2,3,No,1026.0
309,85,2021-12-20,3,2,1,2,Yes,1026.0
308,85,2022-12-26,3,1,3,2,No,1026.0
307,85,2023-12-29,3,1,1,3,Yes,1026.0
306,85,2024-12-15,3,1,3,4,No,1026.0
305,85,2025-12-14,3,2,2,3,No,1026.0
312,86,2024-12-31,3,2,2,4,No,1061.0
311,86,2025-12-18,3,1,2,3,No,1061.0
316,88,2022-12-14,3,1,3,1,No,1250.0
315,88,2023-12-18,3,1,3,1,No,1250.0
314,88,2024-12-17,3,1,3,3,No,1250.0
313,88,2025-12-29,3,1,2,2,No,1250.0
318,90,2024-08-26,3,4,4,3,Yes,1424.0
317,90,2025-08-25,3,3,4,2,Yes,1424.0
323,91,2021-12-12,3,3,1,1,No,1167.0
322,91,2022-12-16,3,2,1,1,No,1167.0
321,91,2023-12-17,3,3,1,1,No,1167.0
320,91,2024-12-22,3,3,1,1,No,1167.0
319,91,2025-12-17,3,3,1,2,No,1167.0
329,94,2020-12-30,3,2,4,4,No,1539.0
328,94,2021-12-23,4,1,2,3,No,1539.0
327,94,2022-12-20,3,1,2,4,No,1539.0
326,94,2023-12-21,4,2,4,3,No,1539.0
325,94,2024-12-29,4,2,4,3,Yes,1539.0
324,94,2025-12-18,4,2,3,3,No,1539.0
331,95,2024-12-15,3,2,2,4,No,997.0
330,95,2025-12-15,3,2,3,3,No,997.0
337,96,2020-12-18,3,3,3,4,No,1217.0
336,96,2021-12-25,3,3,3,4,Yes,1217.0
335,96,2022-12-26,3,3,1,2,Yes,1217.0
334,96,2023-12-13,3,2,3,3,Yes,1217.0
333,96,2024-12-16,3,3,3,4,No,1217.0
332,96,2025-12-13,3,2,2,3,No,1217.0
339,97,2024-12-18,3,3,2,3,No,1424.0
338,97,2025-12-16,3,4,2,3,No,1424.0
345,98,2020-12-28,4,4,3,3,No,1283.0
344,98,2021-12-28,3,3,2,3,No,1283.0
343,98,2022-12-12,4,4,2,4,Yes,1283.0
342,98,2023-12-29,4,3,2,3,No,1283.0
341,98,2024-12-11,4,4,2,4,No,1283.0
340,98,2025-12-25,4,4,3,3,No,1283.0
351,100,2020-12-28,3,2,3,2,No,1070.0
350,100,2021-12-23,3,1,2,4,Yes,1070.0
349,100,2022-12-20,3,1,2,3,Yes,1070.0
348,100,2023-12-29,3,1,3,3,No,1070.0
347,100,2024-12-11,3,2,2,2,No,1070.0
346,100,2025-12-25,3,1,3,3,No,1070.0
352,101,2025-12-17,3,1,4,4,Yes,1061.0
358,102,2020-12-12,3,3,1,4,Yes,396.0
357,102,2021-12-11,3,3,2,4,No,396.0
356,102,2022-12-12,3,4,1,4,Yes,396.0
355,102,2023-12-27,3,4,1,4,No,396.0
354,102,2024-12-29,3,3,2,3,No,396.0
353,102,2025-12-28,3,3,1,4,No,396.0
363,103,2021-12-25,3,3,1,3,Yes,1744.0
362,103,2022-12-15,4,1,3,3,No,1744.0
361,103,2023-12-25,4,3,2,2,Yes,1744.0
360,103,2024-12-29,3,3,3,3,No,1744.0
359,103,2025-12-13,4,2,2,3,Yes,1744.0
369,104,2020-12-29,3,3,4,2,No,1608.0
368,104,2021-12-28,3,3,3,1,No,1608.0
367,104,2022-12-13,3,4,4,3,Yes,1608.0
366,104,2023-12-30,3,4,4,3,No,1608.0
365,104,2024-12-28,3,4,4,1,No,1608.0
364,104,2025-12-25,3,4,4,2,Yes,1608.0
375,105,2020-12-24,3,4,3,4,No,1250.0
374,105,2021-12-17,3,4,2,4,No,1250.0
373,105,2022-12-27,3,3,1,4,No,1250.0
372,105,2023-12-14,3,4,1,3,Yes,1250.0
371,105,2024-12-25,3,4,1,3,No,1250.0
370,105,2025-12-20,3,3,2,3,No,1250.0
377,106,2024-12-11,3,4,1,2,No,1372.0
376,106,2025-12-13,3,4,1,3,No,1372.0
383,107,2020-12-20,3,4,1,4,No,1867.0
382,107,2021-12-25,3,4,2,4,Yes,1867.0
381,107,2022-12-27,3,4,3,4,No,1867.0
380,107,2023-12-27,3,4,1,3,No,1867.0
379,107,2024-12-22,3,4,2,3,No,1867.0
378,107,2025-12-18,3,4,2,3,Yes,1867.0
389,110,2020-12-31,3,2,1,4,No,1026.0
388,110,2021-12-13,3,2,1,2,Yes,1026.0
387,110,2023-01-01,3,1,1,4,No,1026.0
386,110,2023-12-18,3,3,2,2,No,1026.0
385,110,2024-12-19,3,2,1,4,No,1026.0
384,110,2025-12-13,3,2,1,3,No,1026.0
395,112,2020-12-18,3,4,4,1,No,1775.0
394,112,2021-12-21,3,4,4,1,No,1775.0
393,112,2022-12-16,3,4,4,3,No,1775.0
392,112,2023-12-19,3,4,4,3,No,1775.0
391,112,2024-12-22,3,4,4,3,Yes,1775.0
390,112,2025-12-29,3,4,4,2,No,1775.0
396,113,2025-12-23,3,1,3,3,No,1869.0
401,116,2021-12-29,4,3,4,2,No,58.0
400,116,2022-12-26,3,4,3,3,No,58.0
399,116,2023-12-27,3,4,4,4,No,58.0
398,116,2024-12-30,3,3,4,2,No,58.0
397,116,2025-12-18,4,4,4,3,No,58.0
407,117,2020-12-24,3,4,2,2,No,165.0
406,117,2021-12-22,3,3,2,3,Yes,165.0
405,117,2022-12-15,3,4,4,3,Yes,165.0
404,117,2023-12-22,3,4,4,3,Yes,165.0
403,117,2024-12-29,3,4,2,2,No,165.0
402,117,2025-12-21,3,4,3,3,No,165.0
413,118,2020-03-24,3,4,2,3,No,1138.0
412,118,2021-03-22,3,4,2,2,No,1138.0
411,118,2022-04-06,3,4,2,4,No,1138.0
410,118,2023-03-21,3,4,4,3,No,1138.0
409,118,2024-03-31,3,3,2,2,No,1138.0
408,118,2025-04-04,3,4,3,3,No,1138.0
419,119,2020-12-18,4,3,2,1,No,1278.0
418,119,2021-12-21,4,3,4,3,No,1278.0
417,119,2022-12-19,3,1,3,2,No,1278.0
416,119,2024-01-01,4,1,3,1,Yes,1278.0
415,119,2024-12-29,3,3,2,2,No,1278.0
414,119,2025-12-18,4,2,3,2,No,1278.0
425,120,2020-12-30,3,3,3,1,No,986.0
424,120,2021-12-13,4,4,2,1,Yes,986.0
423,120,2022-12-26,4,3,3,1,No,986.0
422,120,2023-12-20,4,3,3,2,No,986.0
421,120,2024-12-14,4,4,4,2,Yes,986.0
420,120,2025-12-26,4,4,3,1,Yes,986.0
431,121,2020-12-23,3,1,3,3,No,1319.0
430,121,2021-12-30,3,2,2,1,No,1319.0
429,121,2022-12-19,3,3,4,3,No,1319.0
428,121,2023-12-29,3,1,4,3,Yes,1319.0
427,121,2024-12-21,3,2,2,2,Yes,1319.0
426,121,2025-12-20,3,2,3,2,Yes,1319.0
437,124,2020-12-24,3,1,2,1,No,1606.0
436,124,2021-12-12,3,1,3,2,Yes,1606.0
435,124,2022-12-12,3,1,4,3,No,1606.0
434,124,2023-12-12,3,2,4,3,No,1606.0
433,124,2024-12-12,3,2,3,1,No,1606.0
432,124,2025-12-21,3,1,3,2,Yes,1606.0
443,125,2020-12-15,3,2,3,2,Yes,1050.0
442,125,2021-12-25,3,4,2,2,No,1050.0
441,125,2022-12-20,3,3,1,4,No,1050.0
440,125,2023-12-30,3,3,3,4,Yes,1050.0
439,125,2024-12-23,3,2,2,3,No,1050.0
438,125,2025-12-15,3,3,2,3,No,1050.0
448,126,2021-12-29,3,3,1,1,No,385.0
447,126,2022-12-14,3,4,1,1,No,385.0
446,126,2023-12-22,3,3,1,2,No,385.0
445,126,2024-12-25,3,4,1,1,No,385.0
444,126,2025-12-16,3,3,1,1,No,385.0
452,128,2023-01-01,4,2,1,2,No,118.0
451,128,2023-12-20,4,4,2,2,No,118.0
450,128,2024-12-25,4,4,1,2,No,118.0
449,128,2025-12-13,4,3,1,2,No,118.0
458,129,2020-12-30,3,2,3,3,No,174.0
457,129,2021-12-28,3,3,3,4,Yes,174.0
456,129,2022-12-25,3,3,2,4,No,174.0
455,129,2023-12-16,3,3,2,4,No,174.0
454,129,2024-12-25,3,4,1,4,No,174.0
453,129,2025-12-22,3,3,2,4,No,174.0
464,131,2020-12-12,3,3,4,3,No,
463,131,2021-12-29,3,3,4,1,No,
462,131,2022-12-19,3,3,4,1,No,
461,131,2023-12-31,3,3,4,1,No,
460,131,2024-12-24,3,2,4,3,No,
459,131,2025-12-25,3,3,4,2,No,
468,132,2022-12-20,3,2,3,4,No,1941.0
467,132,2023-12-21,3,1,1,4,Yes,1941.0
466,132,2024-12-29,3,2,1,3,Yes,1941.0
465,132,2025-12-18,3,2,2,4,No,1941.0
472,133,2022-04-11,4,1,4,4,Yes,1098.0
471,133,2023-04-17,3,1,3,4,Yes,1098.0
470,133,2024-04-10,3,2,4,3,No,1098.0
469,133,2025-04-11,4,1,3,3,Yes,1098.0
474,134,2024-12-16,3,1,4,2,No,1472.0
473,134,2025-12-16,3,1,4,3,No,1472.0
476,137,2024-01-23,3,4,4,3,No,612.0
475,137,2025-01-29,3,4,4,3,Yes,612.0
482,138,2020-12-20,3,2,1,3,No,1069.0
481,138,2021-12-25,3,4,2,3,No,1069.0
480,138,2022-12-30,3,3,2,4,No,1069.0
479,138,2023-12-29,3,2,2,3,No,1069.0
478,138,2024-12-14,3,4,2,4,No,1069.0
477,138,2025-12-23,3,3,1,3,No,1069.0
483,139,2025-12-17,3,4,3,4,No,119.0
487,140,2022-12-14,4,4,2,2,No,549.0
486,140,2023-12-22,4,4,4,3,Yes,549.0
485,140,2024-12-31,4,4,4,2,No,549.0
484,140,2025-12-19,4,4,3,3,No,549.0
493,141,2020-12-16,3,1,2,1,Yes,825.0
492,141,2021-12-25,3,2,2,1,Yes,825.0
491,141,2022-12-21,3,3,1,3,No,825.0
490,141,2023-12-18,3,3,1,3,Yes,825.0
489,141,2024-12-29,3,1,2,2,No,825.0
488,141,2025-12-13,3,2,1,2,Yes,825.0
499,142,2020-10-12,3,2,2,2,No,2055.0
498,142,2021-10-11,3,4,3,3,Yes,2055.0
497,142,2022-10-18,3,2,2,4,Yes,2055.0
496,142,2023-10-05,3,3,4,2,Yes,2055.0
495,142,2024-10-11,3,4,2,4,Yes,2055.0
494,142,2025-10-09,3,3,3,3,Yes,2055.0
502,143,2023-12-30,3,4,4,3,No,1666.0
501,143,2024-12-25,3,3,4,4,No,1666.0
500,143,2025-12-22,3,4,4,3,No,1666.0
503,144,2025-12-31,3,4,2,3,No,468.0
509,145,2020-12-22,4,2,2,2,Yes,1606.0
508,145,2021-12-25,3,1,1,3,No,1606.0
507,145,2022-12-31,4,1,2,2,Yes,1606.0
506,145,2023-12-31,4,1,2,3,No,1606.0
505,145,2024-12-24,4,2,1,2,No,1606.0
504,145,2025-12-17,4,1,1,2,No,1606.0
515,147,2020-03-01,4,3,1,4,Yes,1069.0
514,147,2021-02-19,3,3,1,3,Yes,1069.0
513,147,2022-02-22,4,4,2,4,Yes,1069.0
512,147,2023-03-01,3,2,2,4,Yes,1069.0
511,147,2024-02-22,4,3,2,2,No,1069.0
510,147,2025-03-06,4,3,1,3,Yes,1069.0
521,148,2020-12-28,3,4,4,3,Yes,374.0
520,148,2021-12-29,3,4,4,3,No,374.0
519,148,2023-01-01,3,4,4,3,No,374.0
518,148,2023-12-25,3,3,4,4,Yes,374.0
517,148,2024-12-15,3,4,4,4,Yes,374.0
516,148,2025-12-11,3,4,4,3,Yes,374.0
527,150,2020-12-28,3,4,1,3,No,1666.0
526,150,2021-12-15,3,3,3,2,Yes,1666.0
525,150,2022-12-17,3,3,1,3,Yes,1666.0
524,150,2023-12-21,3,4,2,3,No,1666.0
523,150,2024-12-15,3,4,2,2,No,1666.0
522,150,2025-12-15,3,3,2,3,No,1666.0
529,151,2024-12-16,3,2,2,3,No,1069.0
528,151,2025-12-17,3,2,3,3,No,1069.0
535,152,2020-12-21,3,4,2,4,No,1716.0
